E N alt mass diam kinE incid eject flight
497515 4251089 129 15.398 0.23 111.36 16 19 24
496694 4250572 251 978.808 0.90 2818.16 5 5 15
496279 4250938 186 6.996 0.17 73.87 4 5 33
495325 4251304 94 25.326 0.27 195.94 27 33 22
497089 4251326 143 222.894 0.55 1277.21 19 22 20
496725 4250410 348 3.200 0.14 7.25 14 13 15
497506 4250769 207 356.938 0.65 1955.73 23 24 19
496391 4250969 230 0.365 0.07 0.99 8 19 18
496455 4250401 308 33.882 0.30 225.43 6 6 25
495895 4250777 70 171.600 0.52 1192.97 16 19 22
496850 4250866 262 797.622 0.84 4554.03 5 5 22
496632 4250740 214 584.400 0.77 1346.66 3 3 13
496685 4250661 214 23.901 0.27 94.32 1 1 18
496644 4250663 214 27.078 0.27 135.05 0 1 20
496652 4250690 214 163.325 0.50 145.58 2 2 8
496716 4250665 218 125.594 0.45 1293.76 0 0 30
496624 4250803 255 3.107 0.13 11.90 3 4 19
496474 4250663 273 131.066 0.46 251.10 13 12 13
496736 4250680 229 3.237 0.13 8.65 3 3 15
496542 4250536 274 26.801 0.28 100.34 6 6 18
496558 4250629 246 17.903 0.24 62.59 4 4 17
496708 4251576 0 38.689 0.32 406.71 10 13 29
496665 4250654 214 41.211 0.32 27.52 7 8 7
496725 4250689 222 1.678 0.11 10.88 0 1 25
496740 4250739 250 2.773 0.13 7.14 4 4 15
495728 4251032 28 755.285 0.83 8556.57 12 14 29
496711 4250677 217 50.939 0.34 620.80 0 0 33
497000 4250767 318 5.819 0.16 46.16 4 5 28
496922 4250357 338 46.924 0.33 71.09 48 34 9
496603 4250907 269 33.373 0.29 269.38 3 3 27
496724 4250904 260 1114.771 0.93 8156.52 4 4 25
496665 4250619 223 630.066 0.78 340.73 19 18 6
496492 4250841 278 66.964 0.37 141.24 14 13 13
496607 4250751 234 64.789 0.36 68.86 11 10 9
497195 4251071 267 509.076 0.74 5392.73 7 8 30
496682 4250714 214 3.523 0.14 6.43 2 2 12
498820 4250648 0 40.594 0.32 394.47 39 49 21
496700 4250736 231 502.636 0.72 2488.95 1 1 20
496501 4251117 183 5.877 0.16 35.59 8 10 23
496678 4250680 214 0.538 0.07 0.46 2 2 8
497214 4250855 309 13.421 0.22 96.47 9 9 26
496478 4249708 127 138.884 0.47 1274.23 14 16 27
496592 4250455 315 10.282 0.20 31.91 9 9 17
496645 4250725 214 41.698 0.31 38.35 6 7 8
496737 4250806 270 4.985 0.16 2.49 41 27 6
496563 4251124 176 147.421 0.49 722.88 12 13 19
496850 4250565 322 0.597 0.08 1.52 6 9 17
496702 4250721 225 379.238 0.65 1674.29 1 1 19
496064 4250645 154 39.716 0.31 410.68 6 8 30
496652 4250723 214 0.505 0.07 2.62 0 1 23
496664 4250675 214 1.827 0.11 1.18 3 3 7
495954 4250858 80 246.362 0.58 1726.57 15 17 22
496878 4251598 -1 901.065 0.88 11870.08 9 11 32
